Water type,Definition group ,Term,Urban Water Management Plan,Monthly Urban Water Conservation Report,Electronic Annual Report,Water Loss Audit,Water Use Objective,Annual Supply and Demand Assessment
Water supply,Groundwater supplied,Groundwater,"Groundwater - Groundwater reporting requirements for the 2020 UWMP apply to any
groundwater that a Supplier pumps from any groundwater source.",,,,,
Water supply,Imported/purchased water suppplied ,Water supply water imported,"Purchased or imported water - Suppliers may import or purchase water from other Suppliers or other
entities. Suppliers will make their own determination as to whether a
supply is purchased, imported, transferred, or exchanged. Suppliers may possess Contract Water Supplies, including Water
Supply Entitlements or Water Supply Agreements, that are derived
from local, regional, state, and federal water agencies. These contracts
may include wholesale delivery contracts, contracts based upon state
and federal water projects, and localized contracts between regional
entities for surface or groundwater. Suppliers will make their own
determination as to whether they use water contracts to divert and
deliver water supplies to their customers.",,,"Water imported - Bulk water purchased to become part of the Water Supplied volume. Typically this is water purchased from a neighboring water utility or regional water authority, and is metered at the custody transfer point of interconnection between the two water utilities. Usually the meter(s) are owned by the water supplier selling the water to the utility conducting the water audit. The water supplier selling the bulk water usually charges the receiving utility based upon a wholesale water rate.",,
Water supply,Imported/purchased water suppplied ,Exchanges,"Exchanges - Water exchanges are typically water delivered by one water user to
another water user, with the receiving water user providing water in
return at a specified time or when the conditions of the parties’
agreement are met. Water exchanges can be strictly a return of water
on a basis agreed upon by the participants or it can include payment
and the return of water. The water returned may or may not be an
even exchange; water can be returned on a one-for-one basis or by
another arrangement (e.g., for each acre-foot of water received, two
acre-feet are returned).",,,,,
Water supply,Imported/purchased water suppplied ,Transfers,"Transfer - The Water Code defines a water transfer as a temporary or long-term
change in the point of diversion, place of use, or purpose of use due to
a transfer, sale, lease, or exchange of water or water rights.",,,,,
Water supply,Non potable water supplied ,Stormwater,"Stormwater - Stormwater that is being intentionally diverted for beneficial reuse, Beneficial uses can include blending with other waters
supplies for groundwater recharge, redirecting it into constructed
wetlands or landscaping, and diverting it to a treatment facility for
subsequent reuse.",,,,,
Water supply,Potable water supply,Total Potable Water Supply ,,"Total potable water production - All potable water that enters into a water supplier’s distribution system, excluding water placed into storage and not withdrawn for use during the reporting period and excluding water exported outsider the supplier’s service area during the reporting period. Total Potable Water Production includes all non-revenue waters. Given this, the water exported (its supply net exports) is not captured in this report.",,,,
Water supply,Recycled water supplied,Wastewater and recycled water,"Recycled water - Municipal recycled water is municipal wastewater that has been
treated to a specified quality to enable it to be used again for a
beneficial purpose. The term recycled water is defined in the Water
Code more broadly than municipal recycled water. For purposes of the
UWMPs, recycled water means only municipal recycled water, that is,
water that has been treated and discharged from a municipal
wastewater facility.
There are two requirements treated municipal wastewater must meet
to be classified as recycled water:
1. It must be reused beneficially, in a manner consistent with Title
22;
2. It must be reused in accordance with a Regional Water Quality
Control Board permit such as National Pollutant Discharge
Elimination System, waste discharge requirement, or water
recycling requirement.","Recycled water - Recycled municipal wastewater is recycled water used for indirect potable reuse,  such as the effluent from the treatment of wastewater of municipal origin.",,,,
Water supply,Surface water supplied,Surface water,"Surface water - Water from streams, lakes, and reservoirs is considered a surface
water supply for the purposes of the UWMP.",,,,,
Water supply,Total volume water supplied,Available supply,,,,,,"Available supply - Water supplies as determined by current year conditions and should include information such as stored supplies, contracted supplies, and projected supplies based on current and recent historical influencing factors. Reported monthly by water supply type."
Water supply,Volume from own sources,Water supply own sources,,,,"Own sources - The volume of water withdrawn (abstracted) from water resources (rivers, lakes, streams, wells, etc) controlled by the water utility, and then treated for potable water distribution. Most water audits are compiled for utility retail water distribution systems, so this volume should reflect the amount of treated drinking water that entered the distribution system. Often the volume of water measured at the effluent of the treatment works is slightly less than the volume measured at the raw water source, since some of the water is used in the treatment process. Thus, it is useful if flows are metered at the effluent of the treatment works. If metering exists only at the raw water source, an adjustment for water used in the treatment process should be included to account for water consumed in treatment operations such as filter backwashing, basin flushing and cleaning, etc. If the audit is conducted for a wholesale water agency that sells untreated water, then this quantity reflects the measure of the raw water, typically metered at the source.",,
